,account_access,account_security,app_technical,billing_charges,content_availability,device_integration,feature_howto,other,praise_feedback,subscription_management
account_access,14,0,0,0,0,0,1,0,0,1
account_security,0,13,0,1,0,0,0,0,0,0
app_technical,0,1,25,0,0,1,1,0,0,2
billing_charges,0,0,0,16,0,0,0,0,0,2
content_availability,0,0,1,0,19,0,0,0,0,0
device_integration,0,0,0,0,0,9,1,0,0,0
feature_howto,0,0,6,1,4,0,26,2,1,1
other,0,0,1,0,1,0,1,15,0,0
praise_feedback,0,0,1,1,2,0,0,0,7,0
subscription_management,1,0,0,2,0,0,2,1,0,16
