root_tweet_id,text,thread_head,intent,escalate
2426271,"If I have Spotify premium for family, can my kids still use when they're at college? They still have my permanent address....","customer: If I have Spotify premium for family, can my kids still use when they're at college? They still have my permanent address....
spotify: Hey! They shouldn't have any trouble using Premium for Family while attending college. We hope that helps /CB
spotify: Hey! They shouldn't have any trouble using Premium for Family while attending college. We hope that helps /CB",,
1748235,when you slide crossfade you can see a little white line i think it is bug please fix it. :D https://t.co/QlWcCpDAlQ,"customer: when you slide crossfade you can see a little white line i think it is bug please fix it. :D https://t.co/QlWcCpDAlQ
spotify: Hey there! Can you let us know what device, Android, and Spotify version you're running? We'll see what we can suggest /LM
spotify: Hey there! Can you let us know what device, Android, and Spotify version you're running? We'll see what we can suggest /LM",,
759174,After a Windows10 upgrade Spotify doesn’t work. Can you give me any insight?,"customer: After a Windows10 upgrade Spotify doesn’t work. Can you give me any insight?
spotify: Hey Ryan! What exactly are the issues you're having? We'll see what we can suggest /CG
spotify: Hey Ryan! What exactly are the issues you're having? We'll see what we can suggest /CG",,
1064062,all of a sudden I'm getting emails from spotify. I have never signed up nor do I want to. I got an email to verify my account,"customer: all of a sudden I'm getting emails from spotify. I have never signed up nor do I want to. I got an email to verify my account
spotify: Hi there. The cavalry's here. Can you DM us your email address? We'll take a look backstage /LM
spotify: Hi there. The cavalry's here. Can you DM us your email address? We'll take a look backstage /LM",,
1791760,DM me please. Having issues with your app on Roku.,"customer: DM me please. Having issues with your app on Roku.
spotify: Hi Celine, we're here to help! Can you shoot us a DM with what's going on, as well as your account's username? We'll check it out /WW https://t.co/ldFdZRiNAt
spotify: Hi Celine, we're here to help! Can you shoot us a DM with what's going on, as well as your account's username? We'll check it out /WW https://t.co/ldFdZRiNAt",,
122827,"forgot my e-mail, my user name and my password. I have a trial for 1 month and i’m not sure if I have cancelled my trial. The only thing I know is my pay method and my bank account number. I really hope you can help me. 😅","customer: forgot my e-mail, my user name and my password. I have a trial for 1 month and i’m not sure if I have cancelled my trial. The only thing I know is my pay method and my bank account number. I really hope you can help me. 😅
spotify: Hey Daniel, the cavalry's here! Can you send us a DM with any possible emails and usernames you might have? We'll do some digging /TI https://t.co/ldFdZRiNAt
spotify: Hey Daniel, the cavalry's here! Can you send us a DM with any possible emails and usernames you might have? We'll do some digging /TI https://t.co/ldFdZRiNAt",,
2313472,"issue w family account, doesn't let me accept my husband's invitation, can you help?","customer: issue w family account, doesn't let me accept my husband's invitation, can you help?
spotify: Hey Katie! Can you DM us the email addresses registered in both of your accounts? We'll take a look backstage /MG https://t.co/ldFdZRiNAt
spotify: Hey Katie! Can you DM us the email addresses registered in both of your accounts? We'll take a look backstage /MG https://t.co/ldFdZRiNAt",,
2078547,are premium subscribers allowed to listen to a full album in order? Your $15 family plan has me interested but I like albums.,"customer: are premium subscribers allowed to listen to a full album in order? Your $15 family plan has me interested but I like albums.
spotify: Hey, help's here! You can listen to full albums in order on Premium. More info on our Premium for Family plan at https://t.co/IHblzLNZYN /RV
spotify: Hey, help's here! You can listen to full albums in order on Premium. More info on our Premium for Family plan at https://t.co/IHblzLNZYN /RV",,
2032691,"@3493 @125633 this is crazy thank you!! Desire on Spotify &amp; Chill ✌️
 https://t.co/2saHILgWYy","customer: @3493 @125633 this is crazy thank you!! Desire on Spotify &amp; Chill ✌️
 https://t.co/2saHILgWYy
spotify: Hey there! This sounds like something for our Artist Services friends. You can reach out to them here: https://t.co/3j9HWSEG0s /KP
spotify: Hey there! This sounds like something for our Artist Services friends. You can reach out to them here: https://t.co/3j9HWSEG0s /KP",,
2045319,Going thru @12630’s albums while working diligently today. That woman’s got one hell of a catalog.,"customer: Going thru @12630’s albums while working diligently today. That woman’s got one hell of a catalog.
spotify: Hi Tamone, we'd love to have them on Spotify! Hopefully, we will in the future. Check this out for more info: https://t.co/MEjmIRL2eB /TY
customer: I just wish ‘Libra’ was available on @115888.",,
2708585,should have an alarm feature so I can wake up to my @12899 soundtrack every morning. Just saying.......,"customer: should have an alarm feature so I can wake up to my @12899 soundtrack every morning. Just saying.......
spotify: We can see how that’d be handy. Thanks for taking the time to reach out – your feedback's been noted 📝 /DF
spotify: We can see how that’d be handy. Thanks for taking the time to reach out – your feedback's been noted 📝 /DF",,
569621,Hey @SpotifyCares I think my account has been hacked and I need some help!,"customer: Hey @SpotifyCares I think my account has been hacked and I need some help!
spotify: Hey! We’re sorry to hear that. Check out: https://t.co/iVpg60w61i for what to do next /JS
spotify: Hey! We’re sorry to hear that. Check out: https://t.co/iVpg60w61i for what to do next /JS",,
1725343,hi it's me again. Y'all charged me 120$ but it's saying my payment didn't work and suspended my premium,"customer: hi it's me again. Y'all charged me 120$ but it's saying my payment didn't work and suspended my premium
spotify: Hey V! We just sent you a reply to your DM, so we'll continue assisting you there /TF
spotify: Hey V! We just sent you a reply to your DM, so we'll continue assisting you there /TF",,
2172946,"Dear @115888, Not everyone likes to see of alternative music in their Throwback Thursday playlist. This is the 4th week in a row. Love, Me","customer: Dear @115888, Not everyone likes to see of alternative music in their Throwback Thursday playlist. This is the 4th week in a row. Love, Me
spotify: Hey! Thanks for the feedback. We'll make sure they're passed on to the relevant folks /RC
spotify: Hey! Thanks for the feedback. We'll make sure they're passed on to the relevant folks /RC",,
1538897,when is your iPhone app going to be updated for the iPhone X,"customer: when is your iPhone app going to be updated for the iPhone X
spotify: Hey Lucas! Is your Spotify misbehaving? Let us know what's going on, we'll do our best to help you out /BH
spotify: Hey Lucas! Is your Spotify misbehaving? Let us know what's going on, we'll do our best to help you out /BH",,
